Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Chst14;[ 0.74687147  1.40599961 11.66253804];[0.74687147 0.57626319 0.98032719];[ 8.29483731  5.52856309 12.04311434];4.05
Ccdc32;[ 0.40503059 56.17922632 86.89101818];[0.42528212 0.29821099 0.57297562];[1.54667524 1.05587785 2.24741212];0.62
Casc5;[0.05480707 0.38814504 1.92983113];[6.9388939e-18           nan           nan];[4.97193303        nan        nan];0.24
Rad51;[ 0.11871297  1.54266752 13.92204789];[0.11871297 0.0839273  0.1631969 ];[ 9.0246587   5.97954867 13.95233053];0.99
Gchfr;[ 0.23797373  4.16202343 22.6475514 ];[0.23797373 0.17935851 0.3189704 ];[5.44147619 3.688571   7.91982065];1.22
Dnajc17;[0.41032182 1.81117506 2.34952839];[0.02051609        nan        nan];[1.29723981        nan        nan];0.43
Zfyve19;[0.18139206 3.19781679 7.76449449];[0.18139206 0.10081878 0.30663542];[2.42806108 1.27445541 4.87816932];0.42
Vps18;[0.42811914 2.614652   8.30454217];[0.42811914 0.25601062 0.66638934];[3.17615582 1.74877946 6.36013835];1.17
Chac1;[0.14180335 0.98007153 9.2031211 ];[0.14180335 0.10258767 0.19325965];[ 9.39025451  6.33008589 13.99778257];1.16
Ino80;[0.3135559  5.22743502 5.77237923];[0.3135559  0.09363724 0.60970888];[1.10424696        nan        nan];0.33
1700020I14Rik;[0.22467955 0.39250834 4.20729892];[0.22467955 0.11293087 0.36350503];[10.71900516  5.77572115 24.73596222];1.53
Oip5;[0.06506338 0.63692939 1.33557215];[1.38777878e-17            nan            nan];[2.096892      nan      nan];0.12
Nusap1;[ 0.11704627  9.8370227  56.07495343];[0.11704627 0.08691891 0.15808981];[5.70039891 3.88403486 8.70284996];0.66
Ndufaf1;[ 0.40299758  1.76173183 10.63617974];[0.40299758 0.3053836  0.5366118 ];[6.03734324 4.06402302 8.74577481];1.98
