Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Cyb5b;[  1.13350336 231.43930073 541.40634605];[1.13350336 0.92513798 1.3994623 ];[2.33930168 1.85301637 2.94917398];2.64
Nfat5;[0.41082172 1.01150814 7.89806885];[0.41082172 0.28555961 0.58320465];[ 7.80821089  4.81145488 12.75838747];2.28
Nqo1;[  1.25487435 174.13022415 998.31021037];[1.25487435        nan        nan];[5.56113052 4.70049985 6.66234092];7.14
Nob1;[0.26806319 0.4530364  4.25185451];[0.26806319 0.15455451 0.42045377];[ 9.38523818  5.20544167 18.6862613 ];1.58
Wwp2;[ 0.80371786 29.04915147 67.64021144];[0.84390376 0.66046052 0.96966472];[2.18876613 1.71916482 2.99349446];1.82
Psmd7;[ 1.01148904  3.52202951 52.74062623];[1.01148904 0.85015804 1.21170598];[14.97449869 11.55177994 19.11150874];11.77
Zfhx3;[  1.02739711 104.56522908 230.19345212];[1.02739711 0.82051481 1.31232358];[2.20143402 1.702399   2.85461271];2.24
Dhx38;[  0.7650965  132.9653781  167.64905714];[0.7650965  0.57391791 1.04229827];[1.26084744 0.90041966 1.75005046];0.96
Hp;[6.32282790e-03 5.90044527e-01 7.88511921e+00];[0.00031614        nan        nan];[13.36360028         nan         nan];0.08
Dhodh;[ 0.49385667 29.10196851 78.41755565];[0.49385667 0.35935985 0.6362117 ];[2.69457908 2.03580704 3.59918408];1.31
Zfp821;[ 0.09838495  3.76792999 12.72242178];[0.09838495 0.05310364 0.17589323];[3.37650164 1.71051249 7.15816029];0.32
Atxn1l;[ 0.19446979  7.79270216 17.86855798];[0.19446979 0.10841212 0.31077683];[2.29298613 1.30350858 4.68724913];0.44
Zfp612;[0.00927717 0.44885716 2.09258256];[1.04083409e-17            nan            nan];[4.66202338        nan        nan];0.04
Il34;[0.03990257 1.59268571 5.89663889];[0.03990257 0.01468553 0.08366743];[ 3.70232423  1.49044308 10.73634676];0.14
Cog4;[ 0.75996946  3.02261626 17.60803007];[0.75996946 0.56273795 1.01319661];[5.8254269  3.78448675 9.17506927];3.54
St3gal2;[ 0.83196439  1.68927391 23.02145687];[0.83196439 0.67039737 1.03514554];[13.62801896  9.84280339 18.67397735];7.6
Ddx19a;[ 0.34473801  5.8384564  15.91528741];[0.34473801 0.22484801 0.51784787];[2.72594095 1.63404464 4.74760229];0.89
Aars;[ 0.77869736  9.63925909 96.80495298];[0.73976249 0.61671112 0.90315485];[10.94662959  8.21524364 14.32850214];7.24
Znrf1;[  0.51839193 108.02265143 156.01598479];[0.51839193 0.37776615 0.7343559 ];[1.44428953 0.98066589 2.10105169];0.75
Ldhd;[ 0.0772429   8.78949261 15.00900617];[0.08110504 0.07205971 0.14385957];[1.50269487 0.79872833 3.42612274];0.13
Zfp1;[0.22440742 5.55369632 6.79714548];[0.22440742 0.07736064 0.41591758];[1.22389578 0.59886444 4.19440889];0.26
Cfdp1;[ 0.77831071  2.29566148 21.77008488];[0.77831071 0.61940837 0.98640607];[ 9.48314246  6.64366086 13.20586913];5.51
Adat1;[0.11270154 2.34313404 3.14482339];[2.77555756e-17            nan            nan];[1.34214404        nan        nan];0.14
Kars;[  1.8238946   60.94906091 214.9818027 ];[1.8238946  1.36884604 2.24121662];[3.52723733 2.77152815 4.31386021];6.25
Nudt7;[  0.42159746  97.32842406 103.93307034];[0.44267733 0.30185661 0.66163422];[1.00378781 0.64407292 1.57199606];0.45
Wwox;[3.20657933e-01 1.92153062e+02 3.67094674e+02];[0.33669083 0.24259074 0.46624064];[1.79580273 1.2335389  2.65578774];0.61
Cdyl2;[0.09864625 3.43373023 5.94126567];[2.77555756e-17            nan            nan];[1.73026571        nan        nan];0.17
Cenpn;[ 0.32680509 58.71875815 68.07837206];[0.34314534 0.23051247 0.53008695];[1.0898335  0.68338505 1.7498411 ];0.38
Gcsh;[  1.11589909  49.79953299 179.36744036];[1.11589909 0.86270345 1.36650938];[3.60178961 2.9175497  4.46806618];3.93
Plcg2;[0.07377919 1.06722867 1.19520286];[1.38777878e-17            nan            nan];[1.11991262        nan        nan];0.08
Cdh13;[0.28326334 3.04920054 9.84335123];[0.28326334 0.19527955 0.42495129];[3.22817444 1.87267458 5.19836049];0.84
Hsbp1;[  8.08261498 287.48373696 359.30001816];[4.04130749        nan        nan];[2.41213309 1.9785949  2.94027636];9.83
Mbtps1;[ 0.71129312  1.96109304 10.82386539];[0.99581036        nan        nan];[3.36677443 2.64943107 3.79222051];2.88
Taf1c;[0.11681853 2.67989028 6.90527843];[0.11681853 0.05759512 0.21447503];[2.57670192 1.29809311 5.76925982];0.29
Wfdc1;[ 0.05872977  6.55864248 27.59202716];[0.06166626 0.03874961 0.09348583];[4.20697229 2.32540787 7.87709135];0.24
Cotl1;[ 0.46070532  2.50062011 28.3059419 ];[0.46070532 0.36907973 0.57171643];[11.319569    8.36463105 15.45850166];4.4
Klhl36;[0.10284713 0.80513908 1.44473882];[0.00514236        nan        nan];[1.7943966       nan       nan];0.16
Crispld2;[1.20437142e-01 2.55867942e+01 1.35580764e+02];[0.12043714 0.08674915 0.16404409];[5.298857   3.49690945 8.53419247];0.64
Zdhhc7;[0.29304012 2.66953032 7.98756037];[0.29304012 0.1931204  0.45260146];[2.99212199 1.6895931  5.06570381];0.79
Gse1;[  0.39703742 109.47577594 320.07222817];[0.39703742 0.31577339 0.51214818];[2.92368084 2.17003259 3.93689902];1.16
Gins2;[ 0.47105933 10.68152446 88.89769071];[0.44750636 0.3656599  0.53988163];[10.31998166  8.99380608 12.43539726];3.75
Mthfsd;[ 0.4089267  21.5072879  53.36793579];[0.42937304 0.29620979 0.54482135];[2.48138845 1.82504879 3.40265924];1.0
Foxc2;[0.16376623 1.90608706 4.53269995];[0.16376623 0.046062   0.31776117];[2.30667269        nan        nan];0.36
Zcchc14;[ 0.93827104 14.36331489 17.18495793];[0.93827104 0.53449598 1.44000569];[1.1964479  0.71789843 2.72352305];1.05
Klhdc4;[  0.67816485  79.57732889 221.99029109];[0.7120731  0.55062326 0.78332857];[2.78961727 2.18126713 3.58422671];1.88
Slc7a5;[ 0.56745432  7.06839149 26.07592809];[0.56745432 0.42735074 0.75802885];[3.6890894  2.5906956  5.49343485];1.94
Banp;[0.17536517 1.02370698 7.09253449];[0.17536517 0.11008869 0.26554047];[ 6.92828574  4.08395379 12.21194049];1.04
Zc3h18;[ 0.51012977  1.67054819 15.9753287 ];[0.51012977 0.38558875 0.65684438];[ 9.562926    6.72200216 14.29071405];3.74
Cyba;[ 0.80831618  4.18305145 66.34259009];[0.80831618 0.68292482 0.96434257];[15.85985517 12.28594653 20.06813802];10.74
Mvd;[0.20787225 1.81386139 9.12898465];[0.20787225 0.14489437 0.29823533];[5.03290091 3.15657037 7.89661503];0.94
Rnf166;[0.59502417 4.10010488 8.65207171];[0.59502417 0.35416701 0.95665885];[2.11020741 1.13611246 4.35430989];1.1
Ctu2;[ 0.24689395 15.0520455  41.49530973];[0.24689395 0.16439575 0.3410416 ];[2.75678875 1.92018071 4.03167922];0.67
Cdt1;[  0.30208991  48.29570774 180.23397591];[0.3171944  0.24081435 0.38742457];[3.73188394 2.76893425 5.06146278];1.12
Aprt;[   2.37984497  349.21416885 1659.31162117];[2.49883722 2.10517214 2.88405361];[4.60901194 3.85337269 5.44195964];11.23
Galns;[  0.35150487  87.03762292 111.54729255];[0.38665536 0.25540359 0.51560721];[1.28159856 0.83929121 1.94416971];0.45
Trappc2l;[  2.04730723  63.47055769 268.03217131];[2.04730723 1.59102936 2.46981127];[4.22293708 3.51960491 5.0791701 ];8.38
Ankrd11;[ 0.44026663  2.02384874 23.58960385];[0.44026663 0.35699972 0.54490622];[11.65581366  8.68199344 15.46954992];4.21
Spg7;[ 0.92241224 28.38983252 44.08114494];[0.92241224 0.57755654 1.28499218];[1.55270888 1.0713087  3.13013849];1.39
Rpl13;[ 0.85376955  1.32892647 30.25922969];[0.85376955 0.6825325  1.06659631];[22.76967949 16.53256976 31.19951634];11.84
Dpep1;[0.14178904 1.657703   4.77935779];[0.14178904 0.07318777 0.25595152];[2.88312067 1.41039408 6.14961049];0.38
Chmp1a;[  0.7284994  119.90634924 268.80300579];[0.7284994  0.58232223 0.93663386];[2.24177458 1.70967525 2.92262716];1.62
Cdk10;[ 0.16600752  1.49355    11.74693489];[0.16600752 0.11747741 0.23084517];[ 7.86510991  5.13477198 12.12872297];1.18
Zfp276;[0.16162476 1.44768791 4.16661778];[0.16162476 0.0686357  0.30415538];[2.87811879 1.31056115 7.64273942];0.42
Fanca;[ 0.05136208 28.59165399 45.80467115];[0.05136208 0.02538425 0.11090088];[1.60202943 0.64909596 4.32692245];0.08
Tcf25;[ 0.66490783  1.43868535 13.97997283];[0.66490783 0.51803302 0.8567232 ];[ 9.71718579  6.71189674 13.87394252];4.42
Tubb3;[ 0.26959065  5.73248909 22.96060425];[0.26959065 0.19430561 0.36806397];[4.00534635 2.73725646 6.16286362];1.03
Def8;[ 0.58053849 87.92422929 88.88804297];[0.58053849 0.40812203 0.85261003];[1.01096187 0.66677444 1.51463671];0.58
Afg3l1;[  1.19517611 117.66473001 134.25533384];[1.19517611 0.91769298 1.62314566];[1.14099895 0.83228997 1.52691477];1.35
Gas8;[  0.52349575 123.37481623 313.87392004];[0.52349575 0.40792041 0.67515934];[2.54406798 1.90081881 3.44527223];1.33
Rhou;[0.34000734 1.73101582 3.87086396];[0.34000734 0.13245086 0.66005645];[2.23618058 0.95866966 7.1739912 ];0.64
Rab4a;[  0.94215715 103.61198167 143.68771057];[0.94215715 0.71561569 1.24897094];[1.38678663 1.02729    1.88806525];1.29
Acta1;[8.37231176e-02 1.43379737e+00 2.30822634e+02];[0.07953696 0.06641447 0.09693474];[180.30535997 132.13775266 240.41720142];12.73
Nup133;[  0.29032412  65.5908878  177.68073419];[0.29032412 0.21998049 0.38928534];[2.70892406 1.89593398 3.84092422];0.78
Galnt2;[ 1.5781282  11.80150045 60.82583844];[1.5781282  1.21843084 2.06630264];[5.1540767  3.53330375 7.72473394];7.17
Pgbd5;[0.04672671 0.60902489 1.00180988];[6.9388939e-18           nan           nan];[1.49689611        nan        nan];0.07
2310022B05Rik;[   1.53447794  161.42168264 1025.03463035];[1.53447794 1.31437479 1.79243829];[6.35004303 5.36111743 7.56787098];9.65
Ttc13;[1.1847616  3.54513285 7.04242186];[1.1847616  0.67098967 2.20663752];[1.98650436 0.79638633 4.81188696];1.76
2810004N23Rik;[ 0.56372658 11.19079574 35.13794574];[0.56372658 0.41577303 0.74225123];[3.13989698 2.23687307 4.81465125];1.69
Gnpat;[ 0.59569403  3.39756291 10.88013478];[0.59569403 0.41226141 0.88600529];[3.20233505 1.8987515  5.37381714];1.62
Egln1;[ 0.51989108 13.1912363  44.97795206];[0.51989108 0.38736882 0.68344699];[3.40968436 2.44922467 5.08179672];1.71
Sipa1l2;[2.63551892e-01 1.70212289e+02 5.11366337e+02];[0.27672949 0.22017254 0.36014045];[2.8240285  2.01776543 4.10779058];0.79
Ntpcr;[  0.68467071 105.58062518 201.34286368];[0.71890425 0.54959711 0.91597476];[1.84979562 1.3878881  2.45466957];1.3
Irf2bp2;[  0.5549868   85.23824565 280.37915554];[0.5549868  0.44780867 0.69107041];[3.28935859 2.53591538 4.29685713];1.81
Rbm34;[ 0.59931637  9.08872963 13.33845553];[0.59931637 0.33443823 0.95088515];[1.46758195 0.84569232 3.25793916];0.83
Pard3;[4.58584206e-01 6.47943402e+02 1.73816985e+03];[0.435655   0.36575587 0.51660589];[3.08498447 2.30049565 4.2523586 ];1.23
Nrp1;[6.26110503e-01 1.32258861e+02 8.01506163e+02];[0.6261105  0.53205994 0.74334815];[6.06013203 4.91127824 7.4756667 ];3.78
Itgb1;[   2.33124271   86.30923147 1052.7483378 ];[2.33124271        nan        nan];[12.19740137 10.50639996 14.21410274];27.69
Gucy1a2;[ 0.10064753  9.66908561 75.64704897];[0.10064753 0.0720172  0.13907875];[ 7.82359905  5.03047807 12.90561442];0.78
Aasdhppt;[  0.97286983  60.43795539 173.83130358];[0.97286983 0.60681512 1.21251494];[2.87619431 2.20686856 3.64448294];2.75
Casp4;[ 0.18125674 10.12672325 12.56019187];[0.19938241 0.11578758 0.34102196];[1.12867453 0.62004586 2.48757559];0.22
Dync2h1;[0.03844988 0.19463911 3.86714328];[0.03844988 0.00617837 0.08009851];[19.86827423         nan         nan];0.64
Dcun1d5;[  1.15453023 137.86863728 296.91913891];[1.15453023 0.93436506 1.47860737];[2.15363802 1.65416167 2.74308146];2.47
Mmp3;[ 0.0499753   2.79223325 41.70612683];[0.0499753  0.03290497 0.07979894];[14.93647667  9.51462052 24.61332823];0.73
Tmem123;[ 1.34168106  3.66635657 14.44150695];[1.34168106 0.95479398 1.92872329];[4.05709371 2.17125718 6.75873325];3.87
Birc2;[  0.64806971 157.84325984 173.29236407];[0.64806971 0.46935789 0.93245645];[1.09787624 0.73802147 1.58574847];0.71
Yap1;[  1.29073962 221.02119867 434.95990321];[1.29073962 1.02366262 1.58715476];[2.02699426 1.57655002 2.55530262];2.53
Arhgap42;[6.14115041e-01 2.10881132e+02 6.55030891e+02];[0.61411504 0.51275378 0.77783072];[3.01297682 2.35310473 3.93174308];1.9
Mtmr2;[0.16338997 0.35484928 3.40394406];[0.16338997 0.0612107  0.29981838];[ 9.59264761  4.59048346 29.38445146];1.07
Cwc15;[ 1.19647125 10.418231   34.95472481];[1.13664769 0.85321612 1.55559069];[3.75776769 2.33511739 5.68031555];3.6
Amotl1;[ 0.70445756 12.02866317 78.8557058 ];[0.70445756 0.57330878 0.87280459];[6.55565001 5.14862529 8.70689888];4.36
1700012B09Rik;[0.04205393 1.53473201 1.84205597];[0.0021027       nan       nan];[1.20024601        nan        nan];0.05
Panx1;[0.25888037 2.81280646 7.51552872];[0.28476841        nan        nan];[2.43142613 2.05327849 2.45298944];0.63
Med17;[ 0.19862053  2.04252533 12.282626  ];[0.19862053 0.13966631 0.28774835];[6.013451   3.72311149 9.39628863];1.09
4931406C07Rik;[  0.43237606 184.29890578 235.35724405];[0.43237606 0.30389876 0.61292875];[1.27704092 0.86457076 1.91609619];0.55
Taf1d;[0.16002729 0.29378957 5.00175222];[0.16002729 0.09103238 0.2544521 ];[17.024948    9.51819752 33.19478845];1.76
5830418K08Rik;[  0.2199317   47.28006049 148.01006598];[0.2199317  0.16394565 0.29753268];[3.13049654 2.15928598 4.64901998];0.69
Chordc1;[0.47779185 1.3624052  7.80038416];[0.47779185 0.33050989 0.68081285];[5.72545097 3.48129209 9.51441166];2.03
Naalad2;[0.05265476 4.57577306 9.04231084];[0.0552875  0.01859577 0.09118468];[1.97612747 0.80202498 6.15590299];0.1
Zfp560;[0.21566341 1.4000505  6.36136186];[0.21566341 0.13605406 0.32393862];[4.543666   2.70707718 7.99757576];0.85
Zfp426;[ 0.35570624 55.30329153 57.72943688];[0.35570624 0.23797887 0.55616412];[1.04386982 0.63705652 1.67454142];0.37
Zfp846;[0.11089007 3.03565042 3.15512419];[5.55111512e-17            nan            nan];[1.03935689        nan        nan];0.11
Fbxl12;[0.10636761 0.47554398 1.70754115];[2.77555756e-17            nan            nan];[3.59071133        nan        nan];0.31
Ubl5;[ 0.09020642  0.04501487 22.86781459];[0.09020642 0.01239022 0.26823458];[508.00576415          nan          nan];15.26
Pin1;[ 0.12168618  0.42401087 26.36908109];[0.00608431        nan        nan];[246.89284809          nan          nan];5.88
Col5a3;[ 0.62793657 11.3838413  69.34174248];[0.59653974 0.48832645 0.78289049];[6.0912429  4.61042278 8.86527555];3.62
A230050P20Rik;[0.05351374 0.40122725 1.93226456];[1.38777878e-17            nan            nan];[4.8158857       nan       nan];0.23
Angptl6;[0.07322797 1.63791365 3.70878617];[0.0036614       nan       nan];[2.26433559        nan        nan];0.16
Ppan;[ 0.5020097   7.82744449 60.77903328];[0.47690921 0.38962529 0.59377383];[ 8.46370056  6.17477566 11.32423563];3.66
Eif3g;[  1.70606804  25.85234428 171.46017182];[1.62076464 1.30176148 2.04343098];[ 6.63228719  5.34085435 10.44369508];10.61
Dnmt1;[ 0.3205703   1.65461517 10.22119208];[0.3205703  0.23647624 0.43471836];[6.17738329 4.10218279 9.20616646];1.66
S1pr2;[  0.6370852   40.23827914 155.34897366];[0.6370852  0.49412763 0.79461275];[3.86072608 2.9890676  5.02538669];2.42
Mrpl4;[ 0.9537503   2.83912027 14.80583107];[0.9537503  0.71707449 1.3003229 ];[5.21493621 3.20883135 8.00109106];3.72
Icam1;[ 0.13255735  1.38329425 23.69228264];[0.13255735 0.10452096 0.16722876];[17.12743526 12.55794099 23.40747204];2.07
Tyk2;[  0.3181992  102.36899774 114.26257692];[0.3181992  0.21241145 0.48113838];[1.11618341 0.70111311 1.81966556];0.35
Cdc37;[ 0.84457668  6.6361686  67.29760194];[0.84457668 0.70207379 1.03732762];[10.14103258  7.51267544 13.32393386];7.6
Pde4a;[ 0.41233207  7.8169826  13.40936186];[0.41233207 0.25426131 0.62571663];[1.71541406 1.03644315 3.21398172];0.67
Keap1;[0.31345288 1.02972669 6.57118741];[0.31345288 0.20427883 0.4538421 ];[ 6.38148693  3.89090934 11.14294861];1.53
Kri1;[ 0.35414044 20.31329419 27.87544154];[0.37184746 0.17008451 0.48034193];[1.28993923 0.82911262 2.14356992];0.48
Slc44a2;[  1.24677183  85.28055554 536.36734508];[1.24677183 1.06536503 1.47536512];[6.28944478 5.25215279 7.53734896];7.73
Qtrt1;[  0.56850947 114.68701749 212.18302248];[0.56850947 0.43645594 0.74851691];[1.85010498 1.35572695 2.53233014];1.05
Dnm2;[ 0.56852129  1.58165564 13.12801443];[0.56852129 0.43665099 0.74170319];[ 8.30017239  5.64962524 12.05611262];3.47
Tmed1;[  0.94021204 138.15691422 495.37445875];[0.94021204 0.7849835  1.13371378];[3.58559296 2.8991211  4.45972755];3.35
AB124611;[0.00777083 0.21104457 1.50957301];[1.73472348e-18            nan            nan];[7.15286362        nan        nan];0.05
Carm1;[ 0.39620244 11.27732582 63.52742222];[0.3565822  0.25841837 0.48485848];[ 6.647175    4.40013352 10.21380728];2.16
Yipf2;[0.09726083 0.44893991 3.68920951];[0.09726083 0.03794622 0.17376077];[ 8.217602    4.14768078 23.02565539];0.66
1810026J23Rik;[  0.62363082  65.47022682 103.03240407];[0.62363082 0.47156218 0.83887525];[1.57372914 1.13365534 2.18011503];0.97
Smarca4;[ 0.81645109  3.43623872 20.45569513];[0.81645109 0.63903634 1.06833552];[5.95293191 3.96349069 8.4373706 ];3.93
Ldlr;[  0.72072227 116.61570737 547.22512059];[0.72072227 0.60293709 0.86318529];[4.69255071 3.79235872 5.85920022];3.36
Spc24;[ 0.1440947   2.07731503 18.18729121];[0.1440947  0.1097596  0.19588812];[ 8.49253592  5.87276483 12.53648029];1.18
Kank2;[  1.20716127  49.60598197 117.60769949];[1.08644515 0.79436437 1.50949399];[2.37083704 1.86811318 3.00975753];2.79
Rab3d;[0.18902992 2.73056006 3.32568359];[5.55111512e-17            nan            nan];[1.21794926        nan        nan];0.22
Tmem205;[  0.74007254 225.93424775 455.36235551];[0.74007254 0.58308389 0.9517202 ];[2.01546406 1.52195454 2.66227746];1.49
Ccdc159;[ 0.03846532 33.33373843 36.51827796];[0.03846532 0.01448752 0.11695597];[1.12840108 0.31577175 4.3291924 ];0.04
Prkcsh;[ 1.07299247  4.86498852 31.72924354];[1.07299247 0.85277089 1.36925395];[6.52195651 4.48082323 9.16914688];5.73
Zfp653;[ 0.24477205 46.52972618 49.39565384];[0.24477205 0.15357328 0.41635711];[1.06159348 0.58569451 1.8543471 ];0.26
Ecsit;[0.21773733 0.83691095 5.18817316];[0.21773733 0.13410942 0.33780121];[ 6.19919378  3.52052152 11.22000528];1.07
Cnn1;[  0.40705681   4.20051441 195.17921223];[0.38670397        nan        nan];[53.43538245 40.38906856 61.73336228];17.24
Acp5;[0.00285446 0.13080615 2.51569296];[0.00014272        nan        nan];[19.23222221         nan         nan];0.05
Pigyl;[ 1.12683183 18.66478102 50.04747662];[0.95780705 0.71464906 1.39470496];[3.40535982 2.05682946 5.50540905];2.85
Zfp810;[8.20876911e-02 8.71449324e+01 2.91613167e+02];[0.08208769 0.06422132 0.10958786];[3.34630091 1.91721614 6.19429611];0.27
Anln;[  0.18085795  18.96264063 167.26383595];[0.18085795 0.14488702 0.22472935];[ 8.82070378  6.53621976 12.26830327];1.58
Rp9;[ 0.23096795  0.97590003 10.18921056];[0.23096795 0.17458721 0.30311027];[10.44083439  7.29288768 14.96156668];1.95
Bbs9;[0.04680538 0.45340652 2.00821746];[6.9388939e-18           nan           nan];[4.29630109        nan        nan];0.19
Bmper;[  0.33832586 115.33986914 293.63013588];[0.33832586 0.26886761 0.43869714];[2.54578177 1.85874055 3.56346492];0.86
Dpy19l1;[  0.89809745 116.79697322 271.8260873 ];[0.94300232 0.74571176 1.16254448];[2.2575183  1.76060191 2.87424135];2.07
Acad8;[0.18789862 1.11927557 7.31065712];[0.18789862 0.13057808 0.26935743];[ 6.53159715  4.12090812 10.23291046];1.05
Vps26b;[  0.79642534  61.62868321 106.07212371];[0.83624661 0.62489782 1.07784998];[1.66951417 1.25099517 2.28075368];1.35
Snx19;[0.45556045 2.15667246 6.92678173];[0.45556045 0.30525499 0.70310868];[3.21179125 1.74366374 5.47065894];1.21
Adamts15;[5.21882816e-03 1.12665654e+00 9.30011345e+00];[0.00521883 0.00129123 0.01793397];[8.25461274        nan        nan];0.04
St14;[ 0.01138472  0.69593162 11.26509045];[0.01138472 0.00539598 0.02242287];[16.18706508  6.39788411 40.46836733];0.18
Aplp2;[  1.29348396 146.03463201 653.55047887];[1.29348396 1.09526871 1.55061452];[4.34105223 3.63030051 5.38130052];5.74
Nfrkb;[ 0.08726413  7.97666299 27.61122075];[0.09162734 0.06330864 0.13676968];[3.14996521 1.90240732 5.62297764];0.3
Arhgap32;[0.11550097 1.17936917 1.40163705];[1.38777878e-17            nan            nan];[1.18846336        nan        nan];0.13
St3gal4;[  0.56167089 109.10869942 142.84981229];[0.58975443 0.42109479 0.79372922];[1.26996581 0.89953372 1.83721091];0.73
Dcps;[0.38779819 2.01341437 6.90222815];[0.38779819 0.25646115 0.59232682];[3.42812103 1.9220656  5.89595897];1.11
Tirap;[ 0.57174688  4.09548214 15.56785197];[0.57174688 0.42794948 0.79900341];[3.8012257  2.41535959 5.69323681];1.91
Srpr;[ 1.29383142 11.22204701 51.05291554];[1.22913985 0.98321211 1.66242614];[4.82230117 3.21652285 6.97133523];5.28
Foxred1;[0.25660248 3.48726212 7.33585285];[0.25660248 0.14151291 0.43561861];[2.10361383 1.13929723 4.35356109];0.5
Fam118b;[ 0.73190338 13.50173912 36.90192445];[0.73190338 0.53180196 0.98019734];[2.73312379 1.90137424 4.2997729 ];1.9
Pus3;[  0.33696725  92.58433475 181.34454542];[0.35381562 0.25757505 0.41391508];[1.8999349  1.33645304 2.77314434];0.66
Hyls1;[0.06508898 0.40143279 2.15213507];[1.38777878e-17            nan            nan];[5.36113421        nan        nan];0.3
Chek1;[0.09782933 2.82011375 6.9646469 ];[0.09782933 0.0457593  0.18262235];[2.46963333 1.19497343 5.80153564];0.23
Stt3a;[  1.40244419  33.08662731 161.69760032];[1.26219977 0.97617809 1.5895692 ];[4.88709831 4.0280891  5.95925554];6.58
Ei24;[  1.21829738  42.44406599 107.86424686];[1.27921225 0.94864895 1.53822031];[2.54132691 1.92324477 3.19083247];3.01
Pknox2;[0.03531262 1.09553091 2.9187631 ];[0.00176563        nan        nan];[2.66424531        nan        nan];0.09
Slc37a2;[0.11074478 1.99466041 3.66713624];[1.38777878e-17            nan            nan];[1.83847648        nan        nan];0.19
Siae;[0.16574099 0.54688386 1.0134419 ];[0.15745394 0.02551472 0.8467905 ];[1.90871451        nan        nan];0.24
Tbrg1;[ 1.03744835  5.97527663 45.42658656];[1.03744835 0.84420843 1.29865053];[ 7.60242402  5.37848897 10.28374583];6.72
Scn3b;[1.38037419e-02 9.01308605e+00 2.34203363e+01];[0.01380374 0.00472656 0.03978348];[2.59848138        nan        nan];0.04
Hspa8;[ 0.70967517  1.0692906  40.67911885];[0.70967517 0.60139946 0.83784691];[38.04309029 30.42276926 47.44616529];16.23
2610203C20Rik;[ 0.61611434  3.80349452 14.45976569];[0.61611434 0.4537394  0.87161793];[3.80170541 2.29944907 5.8510105 ];2.02
Tbcel;[0.35017914 1.93425157 5.3590941 ];[0.35017914 0.20909142 0.58725134];[2.7706293 1.403498  5.3504517];0.82
Arhgef12;[5.68021041e-01 5.88970176e+02 1.69843352e+03];[0.56802104 0.61073135 0.65042973];[2.7972223  2.12006773 3.73407193];1.64
Oaf;[  0.94832883 109.08956033 483.87162946];[0.94832883 0.80939311 1.14053547];[4.43554478 3.59703227 5.3504747 ];4.17
Thy1;[3.83194990e-03 2.29653184e-01 5.20045032e+01];[0.00364035 0.00107119 0.00874327];[246.8283151         nan         nan];0.85
Mcam;[ 0.06950201 22.92256372 30.73321881];[0.06950201 0.03473765 0.1381796 ];[1.38096313 0.60583597 3.31049209];0.09
Cbl;[ 0.26081579 64.44166019 75.09502543];[0.27385658 0.18262366 0.4125427 ];[1.16531798 0.69856926 1.9277207 ];0.3
Hinfp;[ 0.15284294 65.79443128 95.11387252];[0.15284294 0.08343041 0.2465238 ];[1.44562193 0.82322521 2.54958988];0.22
Bcl9l;[0.2346865  1.0509174  2.17119755];[0.01173433        nan        nan];[2.0660021       nan       nan];0.4
Phldb1;[  1.14566204  37.24086155 225.10516309];[1.14566204 0.93320649 1.36879127];[6.04457453 5.00797265 7.34636081];6.72
Arcn1;[ 1.03855091 18.95392804 61.47742891];[0.98662336 0.75492031 1.31460994];[3.24351917 2.41048954 5.30135665];3.19
Atp5l;[ 0.47978578  0.96287081 86.16799827];[0.47978578 0.36791024 0.6218738 ];[ 89.49071578  65.3857755  122.22016392];28.66
Ube4a;[0.17958011 0.25418587 1.96802615];[0.00897901        nan        nan];[7.74246872        nan        nan];0.81
Cep164;[  0.32358812 203.70980149 322.6877969 ];[0.37212633 0.27818376 0.54682097];[1.29892618 0.84835494 2.04749064];0.51
Pcsk7;[ 0.44902958  9.75117497 17.98942489];[0.44902958 0.25527284 0.66347241];[1.8448469  1.20229215 3.93568815];0.79
Tagln;[  1.18368528  13.40855942 911.45635032];[1.18368528 0.81922817 1.34693693];[67.97571026 58.32895652 78.49030207];73.93
Sidt2;[ 1.10431835 17.80566043 58.37445148];[1.15953427 0.85134905 1.42406685];[3.08171576 2.47997222 4.8366953 ];3.41
Pafah1b2;[  1.55790617  28.77382284 126.13147895];[1.55790617 1.21486496 1.93375283];[4.38354958 3.31769988 5.66901748];6.48
Bud13;[  0.37358463 150.62576024 292.67502111];[0.39226386 0.30283625 0.51588325];[1.88476905 1.32782616 2.67703556];0.72
Rexo2;[  1.7371779   36.83160581 344.57441861];[1.7371779  1.45858233 2.08527967];[ 9.35540037  7.96766569 11.04137452];15.52
Rbm7;[ 0.59721649  1.23575755 10.72691914];[0.59721649 0.44398732 0.799264  ];[ 8.68043992  5.71413516 13.23421498];3.5
Gm5617;[0.24138873 1.59699937 5.80505714];[0.24138873 0.14553499 0.38660106];[3.63497772 1.98699023 6.7758912 ];0.76
Nnmt;[  0.90414776 145.26176642 549.46260323];[0.90414776 0.76056464 1.09648723];[3.78256865 3.01751761 4.64528582];3.4
Zw10;[ 0.61738466 64.36212045 72.91024723];[0.61738466 0.44591519 0.89127269];[1.13281301 0.76858233 1.64639625];0.69
Ttc12;[0.12849052 0.73602559 5.63495039];[0.12849052 0.0769969  0.19939475];[ 7.65591642  4.45949272 13.91968677];0.84
