Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Ahsa2;[  0.32621327  33.36240428 186.33029021];[0.32621327 0.25660116 0.41302708];[5.58503784 4.13276489 7.70122358];1.8
0610010F05Rik;[  0.62229167 335.77388464 360.11811289];[0.62229167 0.47468007 0.91559597];[1.0403268  0.69657008 1.53331096];0.67
Pex13;[  0.74696146 152.5886499  205.28960273];[0.74696146 0.55382824 0.99001365];[1.38574062 0.9916097  1.90590177];1
Papolg;[0.07378995 2.42971567 6.506527  ];[0.07378995 0.02902734 0.14799711];[2.67789646 1.14240008 7.433468  ];0.19
Fancl;[ 0.25567006 31.87819824 52.39063388];[0.25567006 0.18204969 0.37722121];[1.64346283 1.03796114 2.53234172];0.42
Vrk2;[2.04579809e-01 1.52689522e+02 3.64012325e+02];[0.20457981 0.16060153 0.28016457];[2.38400331 1.55391196 3.67507758];0.49
Efemp1;[  0.50968723   6.31518339 160.96563262];[0.50968723 0.42603751 0.5927816 ];[25.48867115 21.34651177 30.77312207];12.02
Pnpt1;[  0.86437904 204.09676447 208.65280329];[0.86437904 0.62696578 1.23254134];[1.02232294 0.69935414 1.46438974];0.88
Smek2;[  0.50837792 251.10200896 402.01672682];[0.50837792 0.42604942 0.70086926];[1.6010096  1.11736065 2.29632179];0.81
Ccdc104;[ 0.43058763  1.99180676 32.05286327];[0.43058763 0.3501841  0.52818125];[16.0923559  12.19169298 21.25215792];5.7
Ccdc88a;[  0.62378546 117.61558485 542.70073629];[0.62378546 0.5079293  0.76378605];[4.61419069 3.63640955 5.95820623];2.86
Prorsd1;[0.1650569  0.53139396 6.60562178];[0.1650569  0.10253635 0.25344068];[12.430743    7.24066633 22.05578733];1.57
Mtif2;[0.08794193 0.2096506  4.63456189];[0.08794193 0.03888579 0.15295488];[22.106123   11.57065992 54.31533839];1.37
Rtn4;[1.67819518e+00 2.69236010e+02 3.61779494e+03];[1.67819518        nan        nan];[13.03414459 11.32472581 15.49986744];22.41
Eml6;[3.00408124e-02 1.34189526e+01 3.48019729e+01];[0.03004081 0.01367541 0.06318654];[2.51568916 0.99651054 7.53322638];0.08
Acyp2;[  0.50752033 236.30070919 317.8853153 ];[0.50752033 0.39418935 0.72109269];[1.30489983 0.90934008 1.88735446];0.68
Psme4;[ 0.55553856 20.62535198 86.90956005];[0.55553856 0.41597909 0.71927673];[4.21372494 3.17688714 5.66618107];2.28
Asb3;[0.5545076  3.81513642 5.48315626];[0.5545076  0.28655729 0.99356014];[1.43721106 0.6800241  3.48429771];0.7
