Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Ralb;[  1.80346546 300.88501157 596.78258523];[1.80346546 1.47050233 2.25636917];[1.98342411 1.5617576  2.47886152];3.56
Tmem177;[0.21480874 1.90562495 7.20964635];[0.21480874 0.13921038 0.33485831];[3.78335009 2.17631766 6.46220587];0.73
Tmem37;[ 0.37042348 15.04898373 87.7386402 ];[0.35190231 0.27190821 0.43701968];[5.83020367 4.55619717 7.57870508];2.11
Dbi;[  2.7741439   46.59363042 280.92502921];[2.7741439  2.14856302 3.29376804];[6.02925822 4.70677747 7.124089  ];15.79
Steap3;[0.27981743 8.44476348 9.07642665];[0.30779917 0.13270803 0.50028157];[0.97806745 0.55564708 2.64405963];0.29
Insig2;[  0.8838812   97.64754603 214.86683783];[0.97226932 0.7813022  1.25743102];[1.87036766 1.43618724 2.42093759];1.93
Ccdc93;[ 0.39576793  8.25498348 16.62072306];[0.39576793 0.25493284 0.57730377];[2.01341688 1.30852205 3.58213886];0.76
Ddx18;[  0.93912922  79.55187562 133.53333636];[0.93912922 0.74075968 1.23230359];[1.6785693  1.27139096 2.20224561];1.56
Actr3;[ 1.53693047  4.26600839 28.91682757];[1.53693047 1.19347544 2.02148681];[ 6.77842726  4.33595562 10.0343346 ];7.66
Slc35f5;[  0.68838002 168.87190652 181.40019213];[0.86047502 0.60125005 1.28551364];[0.81638295 0.54002643 1.21700457];0.74
Gpr39;[ 0.40646563 19.35945087 60.29953703];[0.40646563 0.3247467  0.53665817];[3.11473385 2.33072136 4.21094808];1.24
Mgat5;[0.03835651 0.24208192 1.11129844];[0.00191783        nan        nan];[3.90200015        nan        nan];0.15
Ccnt2;[0.11939738 3.49554004 8.86362636];[0.11939738 0.05740005 0.2174036 ];[2.53569585 1.27831023 5.87382343];0.29
Rab3gap1;[0.19361335 1.1048194  4.53394692];[0.19361335 0.10423026 0.32500073];[4.10379009 2.138862   8.5499168 ];0.68
Zranb3;[ 0.37985889 84.65293806 90.97091579];[0.37985889 0.25921092 0.56572408];[1.07463389 0.6930334  1.68783082];0.41
R3hdm1;[ 0.25115338 10.06297294 36.25591437];[0.23859571 0.15878615 0.33842773];[3.6029029  2.46326141 6.63629786];0.88
Ubxn4;[ 0.92220841  3.36452052 19.72103853];[0.92220841 0.72018354 1.20775104];[5.86147072 3.86937746 8.40381624];4.24
Dars;[ 0.37440011  2.73454735 21.29695164];[0.37440011 0.28508218 0.49326669];[ 7.78810857  5.35417056 11.25896467];2.56
Cd55;[ 0.1713558   7.56953313 42.47482961];[0.1713558  0.12339926 0.2325793 ];[5.61128789 3.81298931 8.76955611];0.94
AA986860;[2.33549161e-02 1.50092663e+01 4.43782325e+01];[0.02335492 0.01202557 0.04907582];[2.95672232 1.11669347 9.61093407];0.07
Mapkapk2;[   1.36531774  438.51028244 1280.72715039];[1.36531774 1.11904929 1.63608577];[2.92063197 2.39810343 3.67019322];3.98
Dyrk3;[ 0.0892655   5.59927413 18.56258687];[0.0892655  0.05087276 0.14344541];[3.31517737 1.87466715 6.44205625];0.29
Eif2d;[0.37876769 0.72194466 4.3103963 ];[0.37876769 0.19489391 0.65808552];[ 5.97053564  2.74946169 14.24329879];1.48
Rassf5;[  0.17064214  69.86469906 111.89821312];[0.17064214 0.11720775 0.27031053];[1.55359242 0.92861589 2.65401931];0.27
Ikbke;[2.59776115e-01 1.70999621e+02 4.64240241e+02];[0.25977611 0.21184723 0.31398567];[2.71486123 1.92282312 3.89260048];0.7
Srgap2;[  0.37282287  78.30385644 127.98847835];[0.37282287 0.26676116 0.52274785];[1.63451054 1.11779125 2.46393217];0.61
5430435G22Rik;[0.27129349 1.0196049  2.84757332];[0.27129349 0.07510057 0.55707835];[2.79282037        nan        nan];0.6
Pm20d1;[0.01810032 2.09032463 3.12521716];[0.00090502        nan        nan];[1.49508699        nan        nan];0.03
Slc41a1;[  0.52171716 106.24797935 112.6192042 ];[0.52171716 0.36823726 0.77035066];[1.05996561 0.6983477  1.5842054 ];0.55
Nucks1;[  0.83246104 189.7317869  204.25838682];[0.79083799 0.62412925 1.12138433];[1.10886079 0.79234021 1.53425231];0.89
Cdk18;[ 0.93905078 22.84224844 31.16027961];[0.93905078 0.57727183 1.32660614];[1.36415116 0.91388127 2.78561937];1.23
Klhdc8a;[ 0.61070686 13.13841965 59.889285  ];[0.6412422  0.49673094 0.77724071];[4.14808256 3.33052762 6.04855317];2.66
Nuak2;[ 0.56102627  5.92672402 21.40200359];[0.56102627 0.4204633  0.76227933];[3.61110177 2.40034167 5.37296762];1.85
Tmcc2;[ 0.29801438 36.43907427 38.48221593];[0.29801438 0.19489454 0.48133413];[1.05607008 0.63115145 1.74921199];0.31
Dstyk;[  0.4107233  117.04963473 162.8680481 ];[0.4107233  0.29342356 0.59373493];[1.39144431 0.92139094 2.10693158];0.57
Tmem81;[0.057508   1.88588902 4.71214705];[0.057508   0.01563188 0.12548821];[2.49863433 0.9964379  9.83367227];0.14
Mdm4;[0.19507738 2.30825398 5.05771236];[0.19507738 0.07774343 0.35976208];[2.19114205 1.02622871 6.35935849];0.39
Snrpe;[  1.37420331  18.69381865 189.53813379];[1.37420331 1.10367933 1.65646923];[10.13908059  7.8779633  12.00204647];12.98
Zc3h11a;[  1.22727685 448.26794656 889.75234871];[1.22727685 0.98101205 1.50294462];[2.04441323 1.59400971 2.56826293];2.43
Atp2b4;[0.04391415 0.38204994 1.67872834];[6.9388939e-18           nan           nan];[4.39400232        nan        nan];0.17
Prelp;[2.22172015e-01 1.38069917e+01 3.16105508e+02];[0.21106341 0.17815222 0.25600143];[22.89459681 17.94536469 29.83322294];5.01
Fmod;[3.89095753e-01 8.75740904e+01 7.59014717e+02];[0.38909575 0.32848703 0.45841008];[ 8.66711506  6.92165557 11.0175023 ];3.36
Btg2;[6.00795285e-01 6.07806326e+01 7.99686647e+02];[0.60079528 0.51597129 0.69870672];[13.15693194 10.89950191 16.05092825];7.83
Tmem183a;[ 0.6028108   3.57184419 17.8786577 ];[0.6028108  0.45101958 0.81633968];[5.00544166 3.20270786 7.55769062];2.58
Cyb5r1;[7.27085581e-01 3.04108773e+02 1.17945714e+03];[0.6907313  0.66575201 0.83072493];[4.22746202 3.37635484 5.32990568];2.81
Adipor1;[  1.82311675 155.36017032 440.94073801];[1.91427259 1.39875916 2.22610966];[2.83818393 2.32565693 3.49011642];5.11
Klhl12;[ 0.39051574 55.15975609 65.82039793];[0.39051574 0.27107881 0.58545117];[1.19326847 0.7685513  1.83762943];0.46
Ube2t;[0.12126321 1.90123134 9.99011221];[0.12126321 0.08270074 0.18281345];[5.25454845 3.11589425 8.45867785];0.6
Rnpep;[  0.92861262 142.28521618 525.08828123];[0.92861262 0.77443184 1.12102262];[3.69039241 2.9783267  4.59689872];3.4
Timm17a;[  1.54293286  15.78876438 181.04787276];[1.54293286 1.28191408 1.90092732];[11.4668804   8.70649819 15.39392854];16.12
Lmod1;[  0.40115733  11.24932111 182.6013425 ];[0.38109947 0.32621062 0.46978854];[16.23220999 13.18335201 20.28698837];6.29
Shisa4;[   1.36659674  604.72980646 1130.56419785];[1.36659674 1.10473382 1.64037264];[1.92562217 1.52669222 2.38151468];2.55
Ipo9;[  1.69334651 381.19863627 473.51543812];[1.60867918 1.27374451 2.12127149];[1.27944031 0.9809384  1.69536381];2.09
Nav1;[ 0.3741081  35.93526629 95.37660043];[0.39281351 0.29484418 0.50289026];[2.57449887 1.87921468 3.56964135];0.98
Csrp1;[  0.96761918   4.40233711 117.33268255];[0.96761918 0.82500699 1.12860973];[26.65236204 21.22988788 33.45128447];21.14
Phlda3;[1.44388681e+00 2.72613352e+02 3.37832857e+03];[1.51608116 1.29600274 1.7092542 ];[12.02060974 10.15905904 13.98012862];17.8
Tmem9;[ 0.84479861  5.50611809 19.15182029];[0.84479861 0.62433242 1.17647487];[3.47827997 2.22763989 5.42135405];2.55
Kif21b;[3.51444039e-02 9.72131198e+01 2.67882057e+02];[0.0351444  0.02149894 0.05340267];[2.67294781 1.18766775 7.30104905];0.1
Ddx59;[ 0.23083091 10.82152955 24.18476767];[0.24237245 0.16854794 0.34200908];[2.23487517 1.38202678 3.81845828];0.51
Kif14;[0.05862378 2.65416538 5.40465899];[0.00293119        nan        nan];[2.03629323        nan        nan];0.12
Zfp281;[  0.40953846  79.79373292 198.48107024];[0.40953846 0.31325713 0.54075164];[2.48742681 1.78915554 3.47776264];1.01
Nek7;[  1.54615225 166.3163132  200.30814768];[1.54615225 1.2104563  2.04505676];[1.20438064 0.90391464 1.57265203];1.85
2310009B15Rik;[0.09172786 0.73353597 6.6056226 ];[0.09172786 0.0504931  0.1505223 ];[ 9.00517888  4.90011743 17.88662902];0.73
Cdc73;[ 0.32259817  6.2250601  16.87449998];[0.32259817 0.20872433 0.47322303];[2.71073688 1.68912495 4.76276726];0.83
Glrx2;[ 1.38878382 12.77128975 28.37585991];[1.38878382 0.96501922 1.94027948];[2.22184763 1.4229493  3.94316745];2.78
Uchl5;[ 0.51505004  5.77665638 19.33350468];[0.51505004 0.37818726 0.71754811];[3.34683308 2.15407253 5.12250027];1.58
Pla2g4a;[  0.87468473  92.73993246 444.56808098];[0.87468473 0.7379385  1.05022599];[4.64989597 3.82811125 5.80521356];4.15
Ptgs2;[  0.81924826  13.00662414 214.24234182];[0.81924826 0.69504699 0.97359045];[16.47178696 13.89616403 19.69482047];12.69
BC003331;[ 0.32414602 20.74804266 69.91116392];[0.34035332 0.25565845 0.43441053];[3.36953057 2.43263324 4.75619687];1.08
Tpr;[ 1.02672758  3.92564512 59.82240073];[1.02672758 0.86226593 1.2323812 ];[15.23887128 11.71914697 19.43219709];12.4
Prg4;[1.31014849e-01 1.01115959e+01 6.34816730e+02];[0.13101485 0.11066403 0.15515847];[62.78106195 47.00618724 85.5848384 ];8.12
Hmcn1;[4.29760388e-02 1.87599324e+01 8.43171289e+01];[0.04512484 0.03005951 0.06216605];[4.49453266 2.26802986 9.63946313];0.19
Ivns1abp;[ 0.70762822  4.27824379 15.66740267];[0.70762822 0.52540317 1.00026206];[3.66211077 2.28013568 5.59400982];2.22
Rnf2;[0.44289441 2.05301287 5.1114619 ];[0.44289441 0.24722274 0.79978018];[2.48973691 1.13245725 5.35900747];0.91
Fam129a;[ 0.47818646  3.53677426 18.16273117];[0.47818646 0.36754239 0.64365229];[5.13539452 3.32580793 7.39314524];2.16
Edem3;[0.28605838 0.87391681 4.14880571];[0.28605838 0.13682021 0.49973221];[ 4.74736915  2.27642077 11.83824829];1.02
1700025G04Rik;[  0.37523425  95.72159528 143.37323811];[0.37523425 0.27653789 0.53822834];[1.49781497 1.02146476 2.22676498];0.56
Tsen15;[  0.33494021  43.90492944 194.687941  ];[0.33494021 0.26702846 0.42038079];[4.43430711 3.33972207 5.99967938];1.47
Rgl1;[  0.501039   185.55135095 326.97425649];[0.501039   0.38412374 0.68570432];[1.70931134 1.23366106 2.42747119];0.88
Arpc5;[  1.65552799  29.20715046 399.69597664];[1.65552799 1.40591556 1.95176424];[13.68486724 11.80823647 16.06752627];21.44
Lamc2;[0.25421784 4.19295107 5.07879695];[1.11022302e-16            nan            nan];[1.17493215        nan        nan];0.29
Lamc1;[ 1.11569002 18.87531618 44.13691899];[1.05990552 0.76732454 1.48698838];[2.61894152 1.71290626 4.15222743];2.46
Dhx9;[ 0.14031551  0.64743161 11.91174189];[0.14031551 0.10116454 0.19219974];[18.3984558  12.30962142 27.56496554];2.12
Npl;[0.03121587 0.85964771 4.40381812];[0.03121587 0.00602285 0.06892761];[5.12281727        nan        nan];0.15
Rgs16;[ 0.17211659  3.63148461 24.64523512];[0.17211659 0.12738875 0.2357351 ];[ 6.78654539  4.51728487 10.26440581];1.12
Rnasel;[0.07081217 1.05760852 1.81221458];[2.77555756e-17            nan            nan];[1.71350225        nan        nan];0.11
Glul;[  0.72129123  72.56643409 107.46101454];[0.82948491 0.61913658 1.1348859 ];[1.25873434 0.87962975 1.73671311];1.06
Ier5;[ 0.06339359  0.41443847 18.2338624 ];[0.06339359 0.0390253  0.09771544];[43.99654837 25.47242545 78.70717421];2.42
Stx6;[ 0.83186251 10.59425147 17.86380647];[0.83186251 0.52710665 1.21927634];[1.6861792  1.04682965 3.26824527];1.3
Acbd6;[7.81930968e-01 9.47068635e+02 2.23957161e+03];[0.74283442        nan        nan];[2.15191391        nan        nan];1.85
Qsox1;[  1.50672267 180.94878864 524.14061347];[1.5820588  1.28172326 1.87685518];[2.80972533 2.27807656 3.45400016];4.33
Cep350;[0.21161585 1.01112084 3.76844317];[0.21161585 0.09463796 0.37469288];[3.72699583 1.81291307 9.61799829];0.65
Tor1aip1;[ 0.69446772 11.16461721 31.70232173];[0.72919111 0.51903064 0.94030891];[2.75434899 1.96311508 4.27535131];1.86
Tor1aip2;[ 1.04391081  4.07669913 25.59967282];[1.04391081 0.82467759 1.35070758];[6.27950997 4.17894749 8.9215794 ];5.22
Soat1;[8.19286039e-01 1.23430234e+02 9.05209187e+02];[0.81928604 0.7019248  0.92905694];[7.33377194 6.11985472 8.89050083];5.97
Abl2;[0.52359389 3.04585554 6.39277014];[0.52359389 0.30691783 0.90452642];[2.03587694 1.01231191 4.32095865];0.94
Tor3a;[  0.48559918  81.37190853 109.62958052];[0.48559918 0.35575317 0.67839405];[1.34726569 0.92822328 1.94616038];0.65
Fam20b;[ 0.5306837   2.47867192 12.57528103];[0.5306837  0.40124919 0.71591193];[5.07339471 3.29946372 7.47961128];2.22
Rasal2;[0.12797751 0.81342333 1.86178065];[0.00639888        nan        nan];[2.2888213       nan       nan];0.25
Sec16b;[ 0.19042416 13.4280283  19.57496144];[0.19994537 0.1302599  0.31520269];[1.45776885 0.80306491 2.61044567];0.27
4930523C07Rik;[0.06765491 1.03955791 3.10851345];[0.00338275        nan        nan];[2.99022635        nan        nan];0.19
Mrps14;[ 0.21532562  0.68507142 46.92857128];[0.21532562 0.11701825 0.37582488];[ 68.50172117  33.56434603 144.87277936];11.22
Cacybp;[  1.11764079  33.0352747  161.63202207];[1.11764079 0.8807391  1.35440968];[4.8927101  4.02765495 5.98122893];5.29
Rabgap1l;[0.00893721 0.51268233 8.28036254];[0.00938407 0.00123347 0.0241825 ];[16.63559079         nan         nan];0.14
Gas5;[ 1.68599658  6.54899334 91.2590778 ];[1.68599658 1.40640321 2.0562253 ];[13.93482526 10.14708808 18.29514599];18.68
Cenpl;[4.77711237e-02 3.74989167e+01 1.13378149e+02];[0.04777112 0.02547019 0.09255977];[3.02350465 1.31997899 8.02165312];0.14
Klhl20;[ 0.1867497  74.03107314 90.38649703];[0.17741221 0.11480527 0.31346235];[1.25755427 0.67074638 2.36067179];0.23
Prdx6;[  1.18110042  10.21030884 196.51649791];[1.18110042 0.99661558 1.41091136];[19.24687107 14.7635382  24.53476037];20.38
Pigc;[ 0.32462678  5.6195635  16.11546889];[0.34085812 0.2312944  0.47696681];[2.69567926 1.79527644 4.45041911];0.88
Dnm3;[0.03374392 1.09296011 2.91765138];[0.0016872       nan       nan];[2.66949484        nan        nan];0.09
Prrc2c;[  0.6582941   47.59100247 305.44472391];[0.55954998        nan        nan];[6.41811914 5.1635338  8.07253566];4.17
Prrx1;[9.26124212e-01 6.30947212e+02 3.37744476e+03];[0.97243042 0.83286322 1.11766078];[5.19238591 4.26429424 6.27123629];4.95
Gorab;[0.15238359 0.35605188 1.66092326];[0.00761918        nan        nan];[4.66483491        nan        nan];0.5
Kifap3;[0.30539115 0.4393511  6.33631836];[0.30539115 0.19801655 0.44587231];[14.42199272  8.62479803 25.45013153];2.6
Slc19a2;[  1.13179273 180.61853878 220.17429898];[1.13179273 0.87803304 1.52124558];[1.21900166 0.90228395 1.61377846];1.37
Nme7;[ 0.50420737 25.58532209 40.168766  ];[0.50420737 0.3091269  0.71690756];[1.56999259 1.05385122 3.03268067];0.78
Atp1b1;[0.1303407  0.74083181 9.07654657];[0.1303407  0.09088777 0.18007759];[12.25183155  8.15994527 18.98027419];1.36
Dpt;[1.22876924e-01 1.34411204e+02 2.59879717e+02];[0.12287692 0.07931572 0.18179234];[1.93346767 1.12832558 3.40426144];0.24
Sft2d2;[ 0.27582422 41.39060535 93.62287543];[0.27582422 0.20313298 0.37839392];[2.2619354  1.55938801 3.33547743];0.62
Tiprl;[0.66770912 1.43317094 7.97773097];[0.66770912 0.48606714 0.9326141 ];[5.5664895  3.41039295 8.74820344];2.54
Mpzl1;[ 0.7457988   4.38049414 22.12216604];[0.7457988  0.58042494 0.99284718];[5.0501531  3.36980308 7.22850676];3.22
Pou2f1;[0.04705249 1.28142357 2.78023508];[0.00235262        nan        nan];[2.16964565        nan        nan];0.1
Ildr2;[0.02445616 1.46502659 4.93678162];[1.38777878e-17            nan            nan];[3.36975565        nan        nan];0.08
Tada1;[  0.60123289  71.18463346 157.86253729];[0.60123289 0.47767501 0.78221244];[2.15111961 1.64765541 2.89631499];1.32
Uck2;[3.60201622e-01 1.13883412e+02 5.01968691e+02];[0.36020162 0.30498555 0.44635586];[4.40774194 3.34896296 5.84313348];1.58
Mgst3;[ 0.35577228 11.43186008 49.35402713];[0.37356089 0.27543855 0.46416052];[4.31723506 3.28362058 6.12847681];1.49
Pbx1;[  0.71165994  77.66504913 147.88040015];[0.74724294 0.56074985 0.93209903];[1.90407914 1.42267869 2.53904601];1.34
Nuf2;[0.07098615 0.78548188 9.1305354 ];[0.07098615 0.04823937 0.10214706];[11.62411971  7.35044089 18.50513885];0.76
Rgs4;[1.55162192e-01 5.51260989e+00 1.90581138e+02];[0.15516219 0.13044597 0.18678301];[34.57185292 26.57926586 46.09719544];5.22
Hsd17b7;[ 0.47047107  3.10325949 15.78997825];[0.47047107 0.35702883 0.64203073];[5.0881914  3.29950019 7.43091893];2.08
3110045C21Rik;[8.18820785e-02 4.37849862e+01 1.54802519e+02];[0.08188208 0.05344119 0.12635587];[3.4294505  2.05905623 6.17097084];0.29
Ddr2;[  1.03945985  18.72634314 100.15741853];[0.98748686 0.7756279  1.23702419];[6.15074873 4.2926463  8.40513908];5.27
Uap1;[  0.71863729  79.45378562 161.89794608];[0.71863729 0.56705661 0.92959901];[2.03763666 1.54301913 2.69293846];1.45
Olfml2b;[ 0.25722945  3.58540193 15.3570104 ];[0.25722945 0.18627633 0.36428012];[4.2832047  2.76540084 6.50741143];1.03
Atf6;[  0.55280898  67.4244994  109.6195835 ];[0.55280898 0.42381855 0.76579198];[1.57703797 1.14302352 2.21997721];0.89
Dusp12;[0.25645719 1.1204113  3.79349003];[0.25645719 0.12887469 0.44448865];[3.38580131 1.66461427 7.79681927];0.71
Sdhc;[ 0.91896608  1.67395192 25.27501381];[0.91896608 0.73537527 1.14771765];[15.09900825 10.7950717  21.01911273];8.96
Ndufs2;[ 0.35922586  1.99155874 60.61406328];[0.35922586 0.29307984 0.43798847];[30.43548851 23.55852211 39.59829099];9.26
Ufc1;[ 1.35294402 21.29935955 85.85955934];[1.28529682 1.01227375 1.70390327];[4.03108643 3.05721042 6.36810405];5.13
Dedd;[4.06026806 0.24555741 1.02076766];[0.2030134       nan       nan];[0.04156941        nan        nan];0.96
Nit1;[0.30681004 1.40161042 5.95502222];[0.30681004 0.19848367 0.47124054];[4.24870002 2.4080137  7.38099452];1.07
Pfdn2;[ 0.85345592  3.31100092 20.17370555];[0.85345592 0.66324102 1.11861217];[6.09293264 4.01074949 8.82781267];4.13
F11r;[ 0.13928482  3.13140201 13.07112431];[0.13928482 0.09220544 0.2097239 ];[4.17420832 2.51113129 6.99995662];0.56
Ncstn;[  1.48221128  43.15032099 136.65172823];[1.48221128 1.11943039 1.85880075];[3.16687629 2.46865286 3.91701695];4.54
Copa;[  1.68378592 241.0556552  673.58539739];[1.68378592 1.40535403 2.0324065 ];[2.79431485 2.27873393 3.43189927];4.67
Pex19;[ 0.93346662  4.14568295 14.51652969];[0.93346662 0.68266202 1.35445021];[3.50160151 1.97642115 5.59577986];2.67
Dcaf8;[  0.98354078 162.87646105 279.47762488];[0.98354078 0.77462158 1.27221173];[1.71588714 1.2944528  2.24968307];1.68
Pea15a;[  1.14046407  18.63330079 241.98651904];[1.08344086 0.92602678 1.3080138 ];[12.98677683 10.31216427 15.36895587];13.96
Igsf8;[  0.86326266 141.31060243 226.68900389];[0.86326266 0.67634457 1.1245141 ];[1.60418964 1.20817445 2.12303583];1.38
Pigm;[ 0.27581813 10.99598295 15.70884541];[0.27581813 0.10138209 0.47611419];[1.42859856 0.7695994  4.75959567];0.38
Tagln2;[  1.38314218  38.43463467 491.45710429];[1.38314218 1.15455587 1.93377925];[12.78682908 10.93131317 15.07290763];17.07
Dusp23;[  0.26349623  76.91651581 128.40154453];[0.26349623 0.18555855 0.38019599];[1.66936247 1.09434631 2.57937083];0.44
Grem2;[ 1.00289975  6.59862377 97.1743281 ];[0.95275476 0.80652092 1.15021774];[16.05183465 12.13536491 20.53394416];12.82
Fh1;[ 0.67946316  4.45639224 20.57145358];[0.67946316 0.5207355  0.91785872];[4.61616763 2.99780819 6.76845548];2.72
Chml;[ 0.21347658 66.63172874 78.6267855 ];[0.23482424 0.14587229 0.34656051];[1.14461959 0.67638975 2.00796109];0.25
Exo1;[0.09588685 3.47924432 9.37481041];[0.09588685 0.04980795 0.16528076];[2.69449614 1.43905167 5.69935756];0.25
Sdccag8;[  0.43272753 166.34876348 278.17452908];[0.43272753 0.3246751  0.59084514];[1.67223683 1.17458167 2.39195397];0.72
Adss;[   1.19181585  561.39310696 1148.33459481];[1.19181585 0.9880777  1.48047867];[2.0455089  1.61186126 2.59310843];2.43
Tfb2m;[  0.37905082  84.41229115 102.54055748];[0.37905082 0.26381228 0.5614597 ];[1.21475861 0.78631917 1.90567308];0.46
Cnst;[0.45361711 4.07617836 5.58247972];[0.45361711 0.22584301 0.82040676];[1.36953765 0.676617   3.37541466];0.56
Sccpdh;[0.37733299 2.91144293 8.81708879];[0.37733299 0.2563714  0.58196778];[3.02842576 1.75015718 5.01377183];1.01
Ahctf1;[ 0.38491368  4.13219808 15.81455728];[0.38491368 0.27987074 0.55144463];[3.82715373 2.43200018 5.8494672 ];1.35
Cdc42bpa;[  0.75308706 112.07260194 369.29609988];[0.82839576 0.67591274 1.01106662];[2.99858703 2.38268702 3.8002148 ];2.46
Adck3;[0.06593311 2.08394586 2.48749573];[4.16333634e-17            nan            nan];[1.193647      nan      nan];0.08
Psen2;[ 0.42470026 32.5840114  52.85544857];[0.44593528 0.31536779 0.60455627];[1.62212835 1.11509249 2.36348839];0.68
Itpkb;[3.44643006e-02 1.96461280e+01 6.22365880e+01];[0.0344643  0.01801234 0.0660516 ];[3.07284419 1.3586672  8.17207254];0.11
